"COU","Country","VAR","Variable","YEA","Year","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"JPN","Japan","MUNICIPAL","Municipal waste generated","1990","1990","TONNE","Tonnes","3","Thousands",,,50256.625,,
"JPN","Japan","MUNICIPAL","Municipal waste generated","1991","1991","TONNE","Tonnes","3","Thousands",,,51132,,
"JPN","Japan","MUNICIPAL","Municipal waste generated","1992","1992","TONNE","Tonnes","3","Thousands",,,50902.94,,
"JPN","Japan","MUNICIPAL","Municipal waste generated","1993","1993","TONNE","Tonnes","3","Thousands",,,51267.9,,
"JPN","Japan","MUNICIPAL","Municipal waste generated","1994","1994","TONNE","Tonnes","3","Thousands",,,51800,,
"JPN","Japan","MUNICIPAL","Municipal waste generated","1995","1995","TONNE","Tonnes","3","Thousands",,,52224,,
"JPN","Japan","MUNICIPAL","Municipal waste generated","1996","1996","TONNE","Tonnes","3","Thousands",,,52908,,
"JPN","Japan","MUNICIPAL","Municipal waste generated","1997","1997","TONNE","Tonnes","3","Thousands",,,53098,,
"JPN","Japan","MUNICIPAL","Municipal waste generated","1998","1998","TONNE","Tonnes","3","Thousands",,,53605,,
"JPN","Japan","MUNICIPAL","Municipal waste generated","1999","1999","TONNE","Tonnes","3","Thousands",,,53699,,
"JPN","Japan","MUNICIPAL","Municipal waste generated","2000","2000","TONNE","Tonnes","3","Thousands",,,54833,,
"JPN","Japan","MUNICIPAL","Municipal waste generated","2001","2001","TONNE","Tonnes","3","Thousands",,,54681,,
"JPN","Japan","MUNICIPAL","Municipal waste generated","2002","2002","TONNE","Tonnes","3","Thousands",,,54199,,
"JPN","Japan","MUNICIPAL","Municipal waste generated","2003","2003","TONNE","Tonnes","3","Thousands",,,54271,,
"JPN","Japan","MUNICIPAL","Municipal waste generated","2004","2004","TONNE","Tonnes","3","Thousands",,,53376,,
"JPN","Japan","MUNICIPAL","Municipal waste generated","2005","2005","TONNE","Tonnes","3","Thousands",,,52720,,
"JPN","Japan","MUNICIPAL","Municipal waste generated","2006","2006","TONNE","Tonnes","3","Thousands",,,52024,,
"JPN","Japan","MUNICIPAL","Municipal waste generated","2007","2007","TONNE","Tonnes","3","Thousands",,,50816,,
"JPN","Japan","MUNICIPAL","Municipal waste generated","2008","2008","TONNE","Tonnes","3","Thousands",,,48106,,
"JPN","Japan","MUNICIPAL","Municipal waste generated","2009","2009","TONNE","Tonnes","3","Thousands",,,46252,,
"JPN","Japan","MUNICIPAL","Municipal waste generated","2010","2010","TONNE","Tonnes","3","Thousands",,,45359,,
"JPN","Japan","MUNICIPAL","Municipal waste generated","2011","2011","TONNE","Tonnes","3","Thousands",,,45430,,
"JPN","Japan","MUNICIPAL","Municipal waste generated","2012","2012","TONNE","Tonnes","3","Thousands",,,45234,,
"JPN","Japan","MUNICIPAL","Municipal waste generated","2013","2013","TONNE","Tonnes","3","Thousands",,,44874,,
"JPN","Japan","MUNICIPAL","Municipal waste generated","2014","2014","TONNE","Tonnes","3","Thousands",,,44317,,
"JPN","Japan","MUNICIPAL","Municipal waste generated","2015","2015","TONNE","Tonnes","3","Thousands",,,43981,,
"JPN","Japan","MUNICIPAL","Municipal waste generated","2016","2016","TONNE","Tonnes","3","Thousands",,,43170,,
"JPN","Japan","MUNICIPAL","Municipal waste generated","2017","2017","TONNE","Tonnes","3","Thousands",,,42894,,
"JPN","Japan","HOUSEHOLD","Waste from households","1995","1995","TONNE","Tonnes","3","Thousands",,,36984,,
"JPN","Japan","HOUSEHOLD","Waste from households","2000","2000","TONNE","Tonnes","3","Thousands",,,36844,,
"JPN","Japan","HOUSEHOLD","Waste from households","2005","2005","TONNE","Tonnes","3","Thousands",,,36471,,
"JPN","Japan","HOUSEHOLD","Waste from households","2006","2006","TONNE","Tonnes","3","Thousands",,,36220,,
"JPN","Japan","HOUSEHOLD","Waste from households","2007","2007","TONNE","Tonnes","3","Thousands",,,35724,,
"JPN","Japan","HOUSEHOLD","Waste from households","2008","2008","TONNE","Tonnes","3","Thousands",,,34104,,
"JPN","Japan","HOUSEHOLD","Waste from households","2009","2009","TONNE","Tonnes","3","Thousands",,,32974,,
"JPN","Japan","HOUSEHOLD","Waste from households","2010","2010","TONNE","Tonnes","3","Thousands",,,32385,,
"JPN","Japan","HOUSEHOLD","Waste from households","2011","2011","TONNE","Tonnes","3","Thousands",,,32385,,
"JPN","Japan","HOUSEHOLD","Waste from households","2012","2012","TONNE","Tonnes","3","Thousands",,,32137,,
"JPN","Japan","HOUSEHOLD","Waste from households","2013","2013","TONNE","Tonnes","3","Thousands",,,31757,,
"JPN","Japan","HOUSEHOLD","Waste from households","2014","2014","TONNE","Tonnes","3","Thousands",,,31242,,
"JPN","Japan","HOUSEHOLD","Waste from households","2015","2015","TONNE","Tonnes","3","Thousands",,,30935,,
"JPN","Japan","HOUSEHOLD","Waste from households","2016","2016","TONNE","Tonnes","3","Thousands",,,30182,,
"JPN","Japan","HOUSEHOLD","Waste from households","2017","2017","TONNE","Tonnes","3","Thousands",,,29880,,
"JPN","Japan","OTHMUN","Other municipal waste","1995","1995","TONNE","Tonnes","3","Thousands",,,15240,,
"JPN","Japan","OTHMUN","Other municipal waste","2000","2000","TONNE","Tonnes","3","Thousands",,,17990,"E","Estimated value"
"JPN","Japan","OTHMUN","Other municipal waste","2005","2005","TONNE","Tonnes","3","Thousands",,,16249,,
"JPN","Japan","OTHMUN","Other municipal waste","2006","2006","TONNE","Tonnes","3","Thousands",,,15804,,
"JPN","Japan","OTHMUN","Other municipal waste","2007","2007","TONNE","Tonnes","3","Thousands",,,15092,,
"JPN","Japan","OTHMUN","Other municipal waste","2008","2008","TONNE","Tonnes","3","Thousands",,,14003,,
"JPN","Japan","OTHMUN","Other municipal waste","2009","2009","TONNE","Tonnes","3","Thousands",,,13278,,
"JPN","Japan","OTHMUN","Other municipal waste","2010","2010","TONNE","Tonnes","3","Thousands",,,12974,,
"JPN","Japan","OTHMUN","Other municipal waste","2011","2011","TONNE","Tonnes","3","Thousands",,,13045,,
"JPN","Japan","OTHMUN","Other municipal waste","2012","2012","TONNE","Tonnes","3","Thousands",,,13097,,
"JPN","Japan","OTHMUN","Other municipal waste","2013","2013","TONNE","Tonnes","3","Thousands",,,13117,,
"JPN","Japan","OTHMUN","Other municipal waste","2014","2014","TONNE","Tonnes","3","Thousands",,,13075,,
"JPN","Japan","OTHMUN","Other municipal waste","2015","2015","TONNE","Tonnes","3","Thousands",,,13046,,
"JPN","Japan","OTHMUN","Other municipal waste","2016","2016","TONNE","Tonnes","3","Thousands",,,12988,,
"JPN","Japan","OTHMUN","Other municipal waste","2017","2017","TONNE","Tonnes","3","Thousands",,,13014,,
"JPN","Japan","TREATMENT","Municipal waste treated","1990","1990","TONNE","Tonnes","3","Thousands",,,50267.83,,
"JPN","Japan","TREATMENT","Municipal waste treated","1991","1991","TONNE","Tonnes","3","Thousands",,,51128.94,,
"JPN","Japan","TREATMENT","Municipal waste treated","1992","1992","TONNE","Tonnes","3","Thousands",,,50910.57,,
"JPN","Japan","TREATMENT","Municipal waste treated","1993","1993","TONNE","Tonnes","3","Thousands",,,51258.05,,
"JPN","Japan","TREATMENT","Municipal waste treated","1994","1994","TONNE","Tonnes","3","Thousands",,,51799,,
"JPN","Japan","TREATMENT","Municipal waste treated","1995","1995","TONNE","Tonnes","3","Thousands",,,52219,"B","Break"
"JPN","Japan","TREATMENT","Municipal waste treated","1996","1996","TONNE","Tonnes","3","Thousands",,,52912,,
"JPN","Japan","TREATMENT","Municipal waste treated","1997","1997","TONNE","Tonnes","3","Thousands",,,53088,,
"JPN","Japan","TREATMENT","Municipal waste treated","1998","1998","TONNE","Tonnes","3","Thousands",,,53628,,
"JPN","Japan","TREATMENT","Municipal waste treated","1999","1999","TONNE","Tonnes","3","Thousands",,,53795,,
"JPN","Japan","TREATMENT","Municipal waste treated","2000","2000","TONNE","Tonnes","3","Thousands",,,54855,,
"JPN","Japan","TREATMENT","Municipal waste treated","2001","2001","TONNE","Tonnes","3","Thousands",,,54798,,
"JPN","Japan","TREATMENT","Municipal waste treated","2002","2002","TONNE","Tonnes","3","Thousands",,,54253,,
"JPN","Japan","TREATMENT","Municipal waste treated","2003","2003","TONNE","Tonnes","3","Thousands",,,54367,,
"JPN","Japan","TREATMENT","Municipal waste treated","2004","2004","TONNE","Tonnes","3","Thousands",,,53432,,
"JPN","Japan","TREATMENT","Municipal waste treated","2005","2005","TONNE","Tonnes","3","Thousands",,,52750,,
"JPN","Japan","TREATMENT","Municipal waste treated","2006","2006","TONNE","Tonnes","3","Thousands",,,52072,,
"JPN","Japan","TREATMENT","Municipal waste treated","2007","2007","TONNE","Tonnes","3","Thousands",,,50774,,
"JPN","Japan","TREATMENT","Municipal waste treated","2008","2008","TONNE","Tonnes","3","Thousands",,,50597,,
"JPN","Japan","TREATMENT","Municipal waste treated","2009","2009","TONNE","Tonnes","3","Thousands",,,50397,,
