year,waste_cat_en,pc_disposal_rate
2009,Municipal solid waste,1.29
2009,Domestic waste,0.86
2010,Municipal solid waste,1.3
2010,Domestic waste,0.87
2011,Municipal solid waste,1.27
2011,Domestic waste,0.84
2012,Municipal solid waste,1.3
2012,Domestic waste,0.88
2013,Municipal solid waste,1.33
2013,Domestic waste,0.89
2014,Municipal solid waste,1.35
2014,Domestic waste,0.89
2015,Municipal solid waste,1.39
2015,Domestic waste,0.89
2016,Municipal solid waste,1.41
2016,Domestic waste,0.87
2017,Municipal solid waste,1.45
2017,Domestic waste,0.87
2018,Municipal solid waste,1.53
2018,Domestic waste,0.90
