cp_id,cp_state,district_id,address_en,address2_en,address_tc,address2_tc,address_sc,address2_sc,lat,lgt,waste_type
"267","Accepted","Kwai_Tsing","Tai Lin Pai Road RCP","","大連排道垃圾收集站","","大连排道垃圾收集站","","22.362499","114.133535","Metals,Paper,Plastics"
"268","Accepted","Kwai_Tsing","Shek Ying Path near Public Carpark","","石英徑近公眾停車場","","石英径近公众停车场","","22.364588","114.135875","Metals,Paper,Plastics"
"269","Accepted","Kwai_Tsing","117 Shek Yam Road near Sitting-out Area","","石蔭路117號近休憩處","","石荫路117号近休憩处","","22.370689","114.138525","Metals,Paper,Plastics"
"270","Accepted","Kwai_Tsing","Junction of Shun Fong Street and Lai Fong Street","","信芳街與禮芳街交界","","信芳街与礼芳街交界","","22.359539","114.127057","Metals,Paper,Plastics"
"272","Accepted","Kwai_Tsing","On Yam Estate Bus Terminus","","安蔭邨巴士總站","","安荫邨巴士总站","","22.370332","114.142257","Metals,Paper,Plastics"
"273","Accepted","Kwai_Tsing","Kwai Shing West Estate Bus Terminus","","葵盛西邨巴士總站","","葵盛西邨巴士总站","","22.361313","114.122049","Metals,Paper,Plastics"
"274","Accepted","Kwai_Tsing","Kwai Luen Road near Shing Keung House","","葵聯路盛強樓對出","","葵联路盛强楼对出","","22.363957","114.127516","Metals,Paper,Plastics"
"275","Accepted","Kwai_Tsing","Lai Yiu Estate Bus Terminus","","麗瑤邨巴士總站","","丽瑶邨巴士总站","","22.353013","114.131782","Metals,Paper,Plastics"
"276","Accepted","Kwai_Tsing","Cheung Fat Estate Bus Terminus","","長發邨巴士總站","","长发邨巴士总站","","22.361560","114.102553","Metals,Paper,Plastics"
"277","Accepted","Kwai_Tsing","Cheung Hang Estate Bus Terminus","","長亨邨巴士總站","","长亨邨巴士总站","","22.355719","114.097558","Metals,Paper,Plastics"
"278","Accepted","Kwai_Tsing","Cheung Ching Estate Bus Terminus","","長青邨巴士總站","","长青邨巴士总站","","22.348143","114.106825","Metals,Paper,Plastics"
"279","Accepted","Kwai_Tsing","Tsing Yi Ferry Pier Bus Terminus","","青衣碼頭巴士總站","","青衣码头巴士总站","","22.353732","114.108840","Metals,Paper,Plastics"
"280","Accepted","Kwai_Tsing","Tsing Yi Market","","青衣街市","","青衣街市","","22.354193","114.106887","Metals,Paper,Plastics"
"281","Accepted","Kwai_Tsing","Ta Chuen Ping Street RCP","","打磚坪街垃圾收集站","","打砖坪街垃圾收集站","","22.366749","114.135920","Metals,Paper,Plastics"
"282","Accepted","Kwai_Tsing","Kwai Yan Road near Footbridge outside Kwai Fong MTR Station","","葵仁路近港鐵葵芳站對出之行人天橋","","葵仁路近港铁葵芳站对出之行人天桥","","22.357277","114.127928","Metals,Paper,Plastics"
"283","Accepted","Kwai_Tsing","Kwai Hing Road near Kwai Hing MTR Station","","葵興路近港鐵葵興站","","葵兴路近港铁葵兴站","","22.363466","114.131442","Metals,Paper,Plastics"
"284","Accepted","Kwai_Tsing","Bus Terminus at Tsing Yi MTR Station","","港鐵青衣站巴士總站","","港铁青衣站巴士总站","","22.359733","114.106560","Metals,Paper,Plastics"
"285","Accepted","Kwai_Tsing","Tsing Yi Division Police Married Quarter in 13 Tsing Yi Heung Sze Wui Road","","青衣鄉事會路13號青衣已婚人士警察宿舍","","青衣乡事会路13号青衣已婚人士警察宿舍","","22.351801","114.107319","Metals,Paper,Plastics"
"286","Accepted","Kwai_Tsing","Wing Shun Street near Tsuen Wan Abattoir","","永順街近荃灣屠場","","永顺街近荃湾屠场","","22.359678","114.114643","Metals,Paper,Plastics"
"287","Accepted","Kwai_Tsing","Tsing Yi New Ferry Pier","","青衣新碼頭","","青衣新码头","","22.353290","114.108771","Metals,Paper,Plastics"
"288","Accepted","Kwai_Tsing","Tai Wong Ha Resite Village RCP","","大王下村垃圾收集站","","大王下村垃圾收集站","","22.352728","114.101096","Metals,Paper,Plastics"
"289","Accepted","Kwai_Tsing","Chung Mei Lo Uk Village RCP","","涌美老屋村垃圾收集站","","涌美老屋村垃圾收集站","","22.351205","114.105699","Metals,Paper,Plastics"
"290","Accepted","Kwai_Tsing","Lantau Link Viewing Platform Public Toilet","","青嶼幹線觀景台公廁","","青屿干线观景台公厕","","22.358313","114.081981","Metals,Paper,Plastics"
"291","Accepted","Kwai_Tsing","Pavement outside Cheung Tat Road RCP","","長達路垃圾站前行人路","","长达路垃圾站前行人路","","22.349751","114.110047","Metals,Paper,Plastics"
